"match_id","stage","round","fixture_date","home_team","away_team","actual_home_goals","actual_away_goals","actual_winner_team","pair_key","kickoff_utc","result_event_id","result_source_path","result_status","home_key","away_key","winner_key"
"GK04","group","Group K",2026-06-23,"Colombia","DR Congo",1,0,"Colombia","colombia|dr congo","2026-06-24T02:00Z","760459","data/raw/espn/scoreboard_20260623.json","STATUS_FULL_TIME","colombia","dr congo","colombia"
"GB05","group","Group B",2026-06-24,"Switzerland","Canada",2,1,"Switzerland","canada|switzerland","2026-06-24T19:00Z","760463","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","switzerland","canada","switzerland"
"GB06","group","Group B",2026-06-24,"Bosnia and Herzegovina","Qatar",3,1,"Bosnia and Herzegovina","bosnia and herzegovina|qatar","2026-06-24T19:00Z","760462","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","bosnia and herzegovina","qatar","bosnia and herzegovina"
"GC05","group","Group C",2026-06-24,"Scotland","Brazil",0,3,"Brazil","brazil|scotland","2026-06-24T22:00Z","760465","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","scotland","brazil","brazil"
"GC06","group","Group C",2026-06-24,"Morocco","Haiti",4,2,"Morocco","haiti|morocco","2026-06-24T22:00Z","760464","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","morocco","haiti","morocco"
"GA05","group","Group A",2026-06-24,"Czech Republic","Mexico",0,3,"Mexico","czech republic|mexico","2026-06-25T01:00Z","760467","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","czech republic","mexico","mexico"
"GA06","group","Group A",2026-06-24,"South Africa","Korea Republic",1,0,"South Africa","korea republic|south africa","2026-06-25T01:00Z","760466","data/raw/espn/scoreboard_20260624.json","STATUS_FULL_TIME","south africa","korea republic","south africa"
"GE05","group","Group E",2026-06-25,"Curaçao","Ivory Coast",0,2,"Ivory Coast","cote d ivoire|curacao","2026-06-25T20:00Z","760473","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","curacao","cote d ivoire","cote d ivoire"
"GE06","group","Group E",2026-06-25,"Ecuador","Germany",2,1,"Ecuador","ecuador|germany","2026-06-25T20:00Z","760468","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","ecuador","germany","ecuador"
"GF05","group","Group F",2026-06-25,"Japan","Sweden",1,1,NA,"japan|sweden","2026-06-25T23:00Z","760471","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","japan","sweden",NA
"GF06","group","Group F",2026-06-25,"Tunisia","Netherlands",1,3,"Netherlands","netherlands|tunisia","2026-06-25T23:00Z","760472","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","tunisia","netherlands","netherlands"
"GD05","group","Group D",2026-06-25,"Turkey","United States",3,2,"Turkey","turkey|united states","2026-06-26T02:00Z","760470","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","turkey","united states","turkey"
"GD06","group","Group D",2026-06-25,"Paraguay","Australia",0,0,NA,"australia|paraguay","2026-06-26T02:00Z","760469","data/raw/espn/scoreboard_20260625.json","STATUS_FULL_TIME","paraguay","australia",NA
"GI05","group","Group I",2026-06-26,"Norway","France",1,4,"France","france|norway","2026-06-26T19:00Z","760475","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","norway","france","france"
"GI06","group","Group I",2026-06-26,"Senegal","Iraq",5,0,"Senegal","iraq|senegal","2026-06-26T19:00Z","760474","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","senegal","iraq","senegal"
"GH05","group","Group H",2026-06-26,"Cape Verde","Saudi Arabia",0,0,NA,"cape verde|saudi arabia","2026-06-27T00:00Z","760478","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","cape verde","saudi arabia",NA
"GH06","group","Group H",2026-06-26,"Uruguay","Spain",0,1,"Spain","spain|uruguay","2026-06-27T00:00Z","760479","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","uruguay","spain","spain"
"GG05","group","Group G",2026-06-26,"Egypt","Iran",1,1,NA,"egypt|iran","2026-06-27T03:00Z","760476","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","egypt","iran",NA
"GG06","group","Group G",2026-06-26,"New Zealand","Belgium",1,5,"Belgium","belgium|new zealand","2026-06-27T03:00Z","760477","data/raw/espn/scoreboard_20260626.json","STATUS_FULL_TIME","new zealand","belgium","belgium"
"GL05","group","Group L",2026-06-27,"Panama","England",0,2,"England","england|panama","2026-06-27T21:00Z","760485","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","panama","england","england"
"GL06","group","Group L",2026-06-27,"Croatia","Ghana",2,1,"Croatia","croatia|ghana","2026-06-27T21:00Z","760480","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","croatia","ghana","croatia"
"GK05","group","Group K",2026-06-27,"Colombia","Portugal",0,0,NA,"colombia|portugal","2026-06-27T23:30Z","760481","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","colombia","portugal",NA
"GK06","group","Group K",2026-06-27,"DR Congo","Uzbekistan",3,1,"DR Congo","dr congo|uzbekistan","2026-06-27T23:30Z","760482","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","dr congo","uzbekistan","dr congo"
"GJ05","group","Group J",2026-06-27,"Algeria","Austria",3,3,NA,"algeria|austria","2026-06-28T02:00Z","760484","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","algeria","austria",NA
"GJ06","group","Group J",2026-06-27,"Jordan","Argentina",1,3,"Argentina","argentina|jordan","2026-06-28T02:00Z","760483","data/raw/espn/scoreboard_20260627.json","STATUS_FULL_TIME","jordan","argentina","argentina"
"M73","knockout","Round of 32",2026-06-28,"South Africa","Canada",0,1,"Canada","canada|south africa","2026-06-28T19:00Z","760486","data/raw/espn/scoreboard_20260628.json","STATUS_FULL_TIME","south africa","canada","canada"
"M76","knockout","Round of 32",2026-06-29,"Brazil","Japan",2,1,"Brazil","brazil|japan","2026-06-29T17:00Z","760487","data/raw/espn/scoreboard_20260629.json","STATUS_FULL_TIME","brazil","japan","brazil"
"M74","knockout","Round of 32",2026-06-29,"Germany","Paraguay",1,1,"Paraguay","germany|paraguay","2026-06-29T20:30Z","760489","data/raw/espn/scoreboard_20260629.json","STATUS_FINAL_PEN","germany","paraguay","paraguay"
"M75","knockout","Round of 32",2026-06-29,"Netherlands","Morocco",1,1,"Morocco","morocco|netherlands","2026-06-30T01:00Z","760488","data/raw/espn/scoreboard_20260629.json","STATUS_FINAL_PEN","netherlands","morocco","morocco"
"M78","knockout","Round of 32",2026-06-30,"Ivory Coast","Norway",1,2,"Norway","cote d ivoire|norway","2026-06-30T17:00Z","760490","data/raw/espn/scoreboard_20260630.json","STATUS_FULL_TIME","cote d ivoire","norway","norway"
"M77","knockout","Round of 32",2026-06-30,"France","Sweden",3,0,"France","france|sweden","2026-06-30T21:00Z","760492","data/raw/espn/scoreboard_20260630.json","STATUS_FULL_TIME","france","sweden","france"
"M79","knockout","Round of 32",2026-06-30,"Mexico","Ecuador",2,0,"Mexico","ecuador|mexico","2026-07-01T02:00Z","760491","data/raw/espn/scoreboard_20260630.json","STATUS_FULL_TIME","mexico","ecuador","mexico"
"M80","knockout","Round of 32",2026-07-01,"England","DR Congo",2,1,"England","dr congo|england","2026-07-01T16:00Z","760495","data/raw/espn/scoreboard_20260701.json","STATUS_FULL_TIME","england","dr congo","england"
"M82","knockout","Round of 32",2026-07-01,"Belgium","Senegal",3,2,"Belgium","belgium|senegal","2026-07-01T20:00Z","760493","data/raw/espn/scoreboard_20260701.json","STATUS_FINAL_AET","belgium","senegal","belgium"
"M81","knockout","Round of 32",2026-07-01,"United States","Bosnia and Herzegovina",2,0,"United States","bosnia and herzegovina|united states","2026-07-02T00:00Z","760494","data/raw/espn/scoreboard_20260701.json","STATUS_FULL_TIME","united states","bosnia and herzegovina","united states"
"M84","knockout","Round of 32",2026-07-02,"Spain","Austria",3,0,"Spain","austria|spain","2026-07-02T19:00Z","760497","data/raw/espn/scoreboard_20260702.json","STATUS_FULL_TIME","spain","austria","spain"
"M83","knockout","Round of 32",2026-07-02,"Portugal","Croatia",2,1,"Portugal","croatia|portugal","2026-07-02T23:00Z","760496","data/raw/espn/scoreboard_20260702.json","STATUS_FULL_TIME","portugal","croatia","portugal"
"M85","knockout","Round of 32",2026-07-02,"Switzerland","Algeria",2,0,"Switzerland","algeria|switzerland","2026-07-03T03:00Z","760498","data/raw/espn/scoreboard_20260702.json","STATUS_FULL_TIME","switzerland","algeria","switzerland"
"M88","knockout","Round of 32",2026-07-03,"Australia","Egypt",1,1,"Egypt","australia|egypt","2026-07-03T18:00Z","760499","data/raw/espn/scoreboard_20260703.json","STATUS_FINAL_PEN","australia","egypt","egypt"
"M86","knockout","Round of 32",2026-07-03,"Argentina","Cape Verde",3,2,"Argentina","argentina|cape verde","2026-07-03T22:00Z","760500","data/raw/espn/scoreboard_20260703.json","STATUS_FINAL_AET","argentina","cape verde","argentina"
"M87","knockout","Round of 32",2026-07-03,"Colombia","Ghana",1,0,"Colombia","colombia|ghana","2026-07-04T01:30Z","760501","data/raw/espn/scoreboard_20260703.json","STATUS_FULL_TIME","colombia","ghana","colombia"
"M90","knockout","Round of 16",2026-07-04,"Canada","Morocco",0,3,"Morocco","canada|morocco","2026-07-04T17:00Z","760502","data/raw/espn/scoreboard_20260704.json","STATUS_FULL_TIME","canada","morocco","morocco"
"M89","knockout","Round of 16",2026-07-04,"Paraguay","France",0,1,"France","france|paraguay","2026-07-04T21:00Z","760503","data/raw/espn/scoreboard_20260704.json","STATUS_FULL_TIME","paraguay","france","france"
"M91","knockout","Round of 16",2026-07-05,"Brazil","Norway",1,2,"Norway","brazil|norway","2026-07-05T20:00Z","760504","data/raw/espn/scoreboard_20260705.json","STATUS_FULL_TIME","brazil","norway","norway"
"M92","knockout","Round of 16",2026-07-05,"Mexico","England",2,3,"England","england|mexico","2026-07-06T01:00Z","760505","data/raw/espn/scoreboard_20260705.json","STATUS_FULL_TIME","mexico","england","england"
"M93","knockout","Round of 16",2026-07-06,"Portugal","Spain",0,1,"Spain","portugal|spain","2026-07-06T19:00Z","760506","data/raw/espn/scoreboard_20260706.json","STATUS_FULL_TIME","portugal","spain","spain"
"M94","knockout","Round of 16",2026-07-06,"United States","Belgium",1,4,"Belgium","belgium|united states","2026-07-07T00:00Z","760507","data/raw/espn/scoreboard_20260706.json","STATUS_FULL_TIME","united states","belgium","belgium"
