"match_id","sample","view","stage","round","home_team","away_team","observed_outcome","predicted_outcome","confidence","target","metric","value"
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"regulation_1x2","accuracy",1
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"goals","home_xg_absolute_error",1.6203
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"goals","away_xg_absolute_error",0.2832
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"goals","total_xg_squared_error",1.78783641
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"over_2_5","over_2_5_brier",0.27092025
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"over_2_5","over_2_5_log_loss",0.735011384658644
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"btts","btts_brier",0.26584336
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"btts","btts_log_loss",0.7248442673032
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"scoreline","joint_scoreline_log_loss",
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"scoreline","home_goal_rps",
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"scoreline","away_goal_rps",
"GB06","strict","first_valid","group","Group B","Bosnia and Herzegovina","Qatar","home","home",0.3961,"scoreline","exact_score_hit",
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"regulation_1x2","rps",0.09625876
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"regulation_1x2","brier",0.23882856
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"regulation_1x2","log_loss",0.508495008427708
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"regulation_1x2","accuracy",1
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"goals","home_xg_absolute_error",0.882
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"goals","away_xg_absolute_error",0.9991
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"goals","total_xg_squared_error",3.53853721
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"over_2_5","over_2_5_brier",0.27175369
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"over_2_5","over_2_5_log_loss",0.736681182583674
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"btts","btts_brier",0.20866624
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"btts","btts_log_loss",0.610277702737651
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"scoreline","joint_scoreline_log_loss",
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"scoreline","home_goal_rps",
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"scoreline","away_goal_rps",
"GC03","strict","first_valid","group","Group C","Scotland","Morocco","away","away",0.6014,"scoreline","exact_score_hit",
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"regulation_1x2","rps",0.071142605
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"regulation_1x2","brier",0.18074042
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"regulation_1x2","log_loss",0.424800844414907
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"regulation_1x2","accuracy",1
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"goals","home_xg_absolute_error",0.8243
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"goals","away_xg_absolute_error",0.8159
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"goals","total_xg_squared_error",7.05599999999994e-05
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"over_2_5","over_2_5_brier",0.20602521
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"over_2_5","over_2_5_log_loss",0.604953169824029
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"btts","btts_brier",0.20061441
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"btts","btts_log_loss",0.594026089692138
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"scoreline","joint_scoreline_log_loss",
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"scoreline","home_goal_rps",
"GC04","strict","first_valid","group","Group C","Brazil","Haiti","home","home",0.6539,"scoreline","away_goal_rps",
