"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"exploratory","latest_valid","over_2_5","over_2_5_log_loss","outcome_class","home",38,104,0.365384615384615,0.674435558798743,0.656492786308856,0.691932363484393
"exploratory","latest_valid","over_2_5","over_2_5_log_loss","overall","all",79,104,0.759615384615385,0.686545073302177,0.674180976169406,0.69862225320097
"exploratory","latest_valid","over_2_5","over_2_5_log_loss","stage","group",49,52,0.942307692307692,0.689913345107621,0.672879947502635,0.706145401408943
"exploratory","latest_valid","over_2_5","over_2_5_log_loss","stage","knockout",30,31,0.967741935483871,0.681043562686619,0.661709835930091,0.698025777172258
"exploratory","latest_valid","regulation_1x2","accuracy","confidence","high",16,104,0.153846153846154,0.875,0.6875,1
"exploratory","latest_valid","regulation_1x2","accuracy","confidence","low",27,104,0.259615384615385,0.481481481481482,0.296296296296296,0.666666666666667
"exploratory","latest_valid","regulation_1x2","accuracy","confidence","medium",36,104,0.346153846153846,0.805555555555556,0.666666666666667,0.934953703703703
"exploratory","latest_valid","regulation_1x2","accuracy","outcome_class","away",26,104,0.25,0.923076923076923,0.807692307692308,1
"exploratory","latest_valid","regulation_1x2","accuracy","outcome_class","draw",15,104,0.144230769230769,0,0,0
"exploratory","latest_valid","regulation_1x2","accuracy","outcome_class","home",38,104,0.365384615384615,0.842105263157895,0.710526315789474,0.947368421052632
"exploratory","latest_valid","regulation_1x2","accuracy","overall","all",79,104,0.759615384615385,0.708860759493671,0.607594936708861,0.79746835443038
"exploratory","latest_valid","regulation_1x2","accuracy","stage","group",49,52,0.942307692307692,0.673469387755102,0.530612244897959,0.795918367346939
"exploratory","latest_valid","regulation_1x2","accuracy","stage","knockout",30,31,0.967741935483871,0.766666666666667,0.6,0.9
"exploratory","latest_valid","regulation_1x2","brier","confidence","high",16,104,0.153846153846154,0.29554268641972,0.16880077300335,0.470776730006505
"exploratory","latest_valid","regulation_1x2","brier","confidence","low",27,104,0.259615384615385,0.653798891985418,0.599778856321986,0.708063892082743
