"match_id","stage","group","matchday","date","home_team","away_team","home_display","away_display","kickoff_local","venue_name","host_city","host_country","is_completed","match_status","actual_home_goals","actual_away_goals","actual_score","home_goals_expected","away_goals_expected","win_probability","draw_probability","loss_probability","predicted_outcome","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","under_2_5_probability","both_teams_to_score_probability"
"GG03","group","G",2,"2026-06-21","Belgium","Iran","Belgium","Iran","12:00","SoFi Stadium","Inglewood","United States",FALSE,"scheduled",NA,NA,NA,1.5320062339896,1.15542834641458,0.455286512301031,0.247085752609741,0.297627735089228,"home_win","1-0",0.110514685493301,"2-1",0.484946987579122,0.515053012420878,0.481388202161489
"GG04","group","G",2,"2026-06-21","New Zealand","Egypt","New Zealand","Egypt","18:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,1.12076942844962,1.57818996092753,0.287187091835637,0.245930755204485,0.466882152959878,"away_win","0-1",0.108648114947349,"1-2",0.486139393826288,0.513860606173712,0.479391288593525
"GG05","group","G",3,"2026-06-26","Egypt","Iran","Egypt","Iran","20:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.22471160248584,1.44333792054709,0.33217581462645,0.251294811249143,0.416529374124407,"away_win","1-1",0.105208011718534,"1-1",0.480097339693263,0.519902660306736,0.483018912762125
"GG06","group","G",3,"2026-06-26","New Zealand","Belgium","New Zealand","Belgium","20:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,0.897214847353847,1.97212516892206,0.189286011596183,0.217494413536211,0.593219574867605,"away_win","0-1",0.115984431504565,"1-2",0.519152728804224,0.480847271195775,0.459456850367052
"GH01","group","H",1,"2026-06-15","Saudi Arabia","Uruguay","Saudi Arabia","Uruguay","18:00","Hard Rock Stadium","Miami Gardens","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1
"GH02","group","H",1,"2026-06-15","Spain","Cape Verde","Spain","Cape Verde","12:00","Mercedes-Benz Stadium","Atlanta","United States",TRUE,"final",0,0,"0-0",0,0,0,1,0,"draw","0-0",1,"0-0",0,1,0
"GH03","group","H",2,"2026-06-21","Uruguay","Cape Verde","Uruguay","Cape Verde","18:00","Hard Rock Stadium","Miami Gardens","United States",FALSE,"scheduled",NA,NA,NA,1.78454525162709,0.989930953272881,0.543619338537405,0.230557901588677,0.225822759873918,"home_win","1-0",0.117025960617533,"2-1",0.503199532484114,0.496800467515886,0.470294157854658
"GH04","group","H",2,"2026-06-21","Spain","Saudi Arabia","Spain","Saudi Arabia","12:00","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,2.54093510536525,0.69567759204976,0.734255138424948,0.162875952161538,0.102868909413514,"home_win","2-0",0.116705583798848,"3-1",0.590698952296483,0.409301047703517,0.42172055211158
"GH05","group","H",3,"2026-06-26","Cape Verde","Saudi Arabia","Cape Verde","Saudi Arabia","19:00","NRG Stadium","Houston","United States",FALSE,"scheduled",NA,NA,NA,1.43852467720542,1.22840768550068,0.419890917628806,0.250883272389372,0.329225809981823,"home_win","1-0",0.106793490944756,"1-1",0.480450315224731,0.51954968477527,0.483186359104958
"GH06","group","H",3,"2026-06-26","Uruguay","Spain","Uruguay","Spain","18:00","Estadio Akron","Zapopan","Mexico",FALSE,"scheduled",NA,NA,NA,1.00873804653052,1.75149469300771,0.238295656010295,0.23511050622012,0.526593837769585,"away_win","0-1",0.113480290083869,"1-2",0.498132427819803,0.501867572180196,0.471526510481602
