"date","team","fifa_code","rating","match_id","is_post_match"
1872-11-29,"Arameans Suryoye",NA,1500,"initial",FALSE
1872-11-29,"Padania",NA,1500,"initial",FALSE
1872-11-29,"Iraqi Kurdistan",NA,1500,"initial",FALSE
1872-11-29,"Gozo",NA,1500,"initial",FALSE
1872-11-29,"Bonaire",NA,1500,"initial",FALSE
1872-11-29,"Chagos Islands",NA,1500,"initial",FALSE
1872-11-29,"Sealand",NA,1500,"initial",FALSE
1872-11-29,"Kurdistan",NA,1500,"initial",FALSE
1872-11-29,"Raetia",NA,1500,"initial",FALSE
1872-11-29,"Darfur",NA,1500,"initial",FALSE
1872-11-29,"Tamil Eelam",NA,1500,"initial",FALSE
1872-11-29,"South Sudan","SSD",1500,"initial",FALSE
1872-11-29,"Saint Barthélemy",NA,1500,"initial",FALSE
1872-11-29,"Abkhazia",NA,1500,"initial",FALSE
1872-11-29,"Saint Pierre and Miquelon",NA,1500,"initial",FALSE
1872-11-29,"Artsakh",NA,1500,"initial",FALSE
1872-11-29,"Madrid",NA,1500,"initial",FALSE
1872-11-29,"Quebec",NA,1500,"initial",FALSE
1872-11-29,"Saugeais",NA,1500,"initial",FALSE
1872-11-29,"Ellan Vannin",NA,1500,"initial",FALSE
1872-11-29,"Vatican City",NA,1500,"initial",FALSE
1872-11-29,"Somaliland",NA,1500,"initial",FALSE
1872-11-29,"Franconia",NA,1500,"initial",FALSE
1872-11-29,"South Ossetia",NA,1500,"initial",FALSE
1872-11-29,"County of Nice",NA,1500,"initial",FALSE
1872-11-29,"Seborga",NA,1500,"initial",FALSE
1872-11-29,"Székely Land",NA,1500,"initial",FALSE
1872-11-29,"Panjab",NA,1500,"initial",FALSE
1872-11-29,"Felvidék",NA,1500,"initial",FALSE
1872-11-29,"Luhansk PR",NA,1500,"initial",FALSE
1872-11-29,"Donetsk PR",NA,1500,"initial",FALSE
1872-11-29,"United Koreans in Japan",NA,1500,"initial",FALSE
1872-11-29,"Western Armenia",NA,1500,"initial",FALSE
1872-11-29,"Délvidék",NA,1500,"initial",FALSE
1872-11-29,"Barawa",NA,1500,"initial",FALSE
1872-11-29,"Ryūkyū",NA,1500,"initial",FALSE
1872-11-29,"Kárpátalja",NA,1500,"initial",FALSE
1872-11-29,"Yorkshire",NA,1500,"initial",FALSE
1872-11-29,"Matabeleland",NA,1500,"initial",FALSE
1872-11-29,"Cascadia",NA,1500,"initial",FALSE
1872-11-29,"Kabylia",NA,1500,"initial",FALSE
1872-11-29,"Parishes of Jersey",NA,1500,"initial",FALSE
1872-11-29,"Chameria",NA,1500,"initial",FALSE
1872-11-29,"Saint Helena",NA,1500,"initial",FALSE
1872-11-29,"West Papua",NA,1500,"initial",FALSE
1872-11-29,"Elba Island",NA,1500,"initial",FALSE
1872-11-29,"Yoruba Nation",NA,1500,"initial",FALSE
1872-11-29,"Biafra",NA,1500,"initial",FALSE
1872-11-29,"Mapuche",NA,1500,"initial",FALSE
1872-11-29,"Aymara",NA,1500,"initial",FALSE
1872-11-29,"Canton Ticino",NA,1500,"initial",FALSE
1872-11-29,"Hmong",NA,1500,"initial",FALSE
1872-11-29,"Marshall Islands",NA,1500,"initial",FALSE
1872-11-29,"Rouet-Provence",NA,1500,"initial",FALSE
1872-11-29,"Asturias",NA,1500,"initial",FALSE
1872-11-29,"South Yemen",NA,1500,"initial",FALSE
1872-11-29,"Ambazonia",NA,1500,"initial",FALSE
1872-11-29,"Crimea",NA,1500,"initial",FALSE
1872-11-29,"Two Sicilies",NA,1500,"initial",FALSE
1872-11-29,"Cilento",NA,1500,"initial",FALSE
1872-11-29,"Surrey",NA,1500,"initial",FALSE
1872-11-29,"East Turkestan",NA,1500,"initial",FALSE
1872-11-29,"Maule Sur",NA,1500,"initial",FALSE
1872-11-30,"Scotland",NA,1500,"Scotland_England_1872-11-30",FALSE
1872-11-30,"England","ENG",1500,"Scotland_England_1872-11-30",FALSE
1872-11-30,"Scotland",NA,1496.58005285313,"Scotland_England_1872-11-30",TRUE
1872-11-30,"England","ENG",1503.41994714687,"Scotland_England_1872-11-30",TRUE
