"match_id","model_version","feature_cutoff_date","date","home_team","away_team","home_goals","away_goals","venue","feature_source_date","elo_diff","actual_outcome","xgf_ewma_diff","xga_ewma_diff","xgd_ewma_diff","shots_ewma_diff","form_index_diff","log_squad_value_diff","log_top11_value_diff","log_top15_value_diff","median_player_value_diff","squad_value_concentration_diff","avg_age_diff","total_caps_diff","total_goals_diff","num_players_with_value_diff","missing_value_share_diff","log_top23_value_diff","top5_value_share_diff","top11_to_top23_ratio_diff","value_drop_11_to_23_diff","value_weighted_avg_age_diff","top11_avg_age_diff","top11_u24_value_share_diff","top11_over30_value_share_diff","log_goalkeeper_value_diff","log_defense_value_diff","log_midfield_value_diff","log_attack_value_diff","log_top1_goalkeeper_value_diff","log_top4_defense_value_diff","log_top4_midfield_value_diff","log_top3_attack_value_diff","defense_value_share_diff","midfield_value_share_diff","attack_value_share_diff","squad_value_momentum_6m_diff","squad_value_momentum_12m_diff","top11_value_momentum_6m_diff","top11_value_momentum_12m_diff","home_attack_ability","away_attack_ability","home_defense_ability","away_defense_ability","attack_ability_diff","defense_ability_diff","goal_ability_source_date"
"KO_1608","hybrid",2026-06-10,2026-06-28,"Morocco","Norway",NA,NA,"neutral",2026-06-09,71.1095125552301,NA,0,0,0,0,0,0.1761420683323,-0.312787992824102,-0.189567255373397,-3e+05,-0.268673518849274,1.9849532863064,0,0,89,-0.431785869722907,-0.0599430358547011,-0.266781389763233,-0.196602316602317,-0.299670433145009,-0.703582287216797,-1.0232095078091,0.180989400943176,-0.0142993883363683,0.679335334414599,0.928950016594101,0.306409504828999,-0.294280946533402,1.9348596547494,0.992892113237801,-0.00803217163280223,-1.151454762091,0.170179778584978,0.037716593836718,-0.213621692578214,0.0285380264801631,0.0756908614498784,0.0095878238457843,0.0249589403760524,1.48435878240835,1.82155915413076,0.302931981966392,0.714285431537169,-0.337200371722416,-0.411353449570777,2026-06-09
"KO_1609","hybrid",2026-06-10,2026-06-28,"Haiti","Norway",NA,NA,"neutral",2026-06-09,-155.92636456874,NA,0,0,0,0,0,-2.5006037262564,-2.2024032361892,-2.2310588316298,-5e+05,0.241379520375571,2.9467318420527,0,0,-163,-0.478097345132743,-2.2792237271371,0.235919695425282,0.070266429840142,0.07702492211838,0.908009187917902,2.3757077966523,-0.146694214876033,0.0282266162045265,-2.5301611961475,-2.2346187960781,-2.3873604904239,-2.6488765131968,-1.6486553948258,-1.7223782343365,-1.9805015438539,-2.4071289116054,0.046178596619656,0.032504011354427,-0.078446381850299,0.0354178306553123,0.0849558262229522,0.0335578117326882,0.0770958181469191,1.69082197207606,1.82155915413076,0.856741737362262,0.714285431537169,-0.130737182054698,0.142456305825093,2026-06-09
"KO_1610","hybrid",2026-06-10,2026-06-28,"Scotland","Norway",NA,NA,"neutral",2026-06-09,-117.50505045539,NA,0,0,0,0,0,-0.2852113832536,-0.816108889088,-0.738042498337499,-5e+05,-0.28618498005065,3.2731421134177,0,0,614,-0.446437208012273,-0.669785828912602,-0.260968678464405,-0.119786856127886,-0.164135514018692,2.7415335987507,1.2148590629083,-0.0999652429134162,0.175890167606395,0.8523419057544,0.4979368535597,0.167339169782299,-1.2585795050608,0.653926098176099,0.402223607753598,-0.223143549314202,-2.0222831037385,0.180090640929631,0.155145528982509,-0.354188817039523,-0.0283794905615302,-0.00925461381243759,-0.0560543459087271,-0.0365292052622337,1.120085325941,1.82155915413076,0.945846143958816,0.714285431537169,-0.701473828189766,0.231560712421647,2026-06-09
"KO_1611","hybrid",2026-06-10,2026-06-28,"United States","Norway",NA,NA,"neutral",2026-06-09,-39.1520712847898,NA,0,0,0,0,0,-0.1986750323607,-0.465057204087,-0.355978321689999,-25000,-0.162470687777169,-1.0334031330993,0,0,-26,0.070029690697876,-0.2578291087674,-0.227571284814138,-0.164705882352941,-0.239857456140351,-0.4221949515522,-0.440545081202199,-0.0743257938234014,-0.0764462809917355,1.1545407201242,0.432793676941102,0.2136199221437,-0.929010761215199,1.6835452582145,0.535754998754701,-0.155484901494603,-1.0310910811598,0.133417199345201,0.138328209462296,-0.29502059044192,0.0163079928491036,0.0594658577910928,0.0129112532418425,0.0803290932045431,1.34951587798203,1.82155915413076,0.766919889573172,0.714285431537169,-0.472043276148731,0.0526344580360025,2026-06-09
"KO_1612","hybrid",2026-06-10,2026-06-28,"Paraguay","Norway",NA,NA,"neutral",2026-06-09,-53.1557312840698,NA,0,0,0,0,0,-1.4927479991968,-1.4458864516163,-1.384929433548,-375000,0.0333321189879551,2.8440717499529,0,0,-132,-0.088471494792607,-1.3331845307276,-0.042206962980003,-0.093793103448276,-0.124269005847953,1.0399558438706,2.268433824902,0.24804262722923,0.248115122517036,-4.7273679959035,-0.836776394145097,-1.251043491867,-1.9442095068335,-3.2580773074519,-0.460341706982202,-0.886731918215201,-2.3099651669311,0.140485884529919,0.074118939617725,-0.206813918057403,0.00037425959549253,0.0494893252104874,0.0162839375609351,0.0742426465848641,0.700222420969161,1.82155915413076,0.768082774916178,0.714285431537169,-1.1213367331616,0.053797343379009,2026-06-09
"KO_1613","hybrid",2026-06-10,2026-06-28,"Australia","Norway",NA,NA,"neutral",2026-06-09,-37.8684531593399,NA,0,0,0,0,0,-2.0470291624812,-2.5524247878036,-2.468841248816,-3e+05,-0.275631728704675,-1.3009974457307,0,0,-66,0.0726410514917301,-2.3634938285756,-0.250493238366554,-0.151497584541063,-0.216622458001768,2.5922698067027,2.7278949660879,0.30953920687463,0.20206830786768,0.3063127016169,-1.4566751267032,-1.7543427643389,-2.7639893159479,0.4307826468619,-1.3613649217372,-2.2256239857839,-3.3336760813703,0.121938581874417,0.092174324938769,-0.291327845597291,0.00306432929670208,0.0469641959720768,-0.0183103743471591,0.0849354413040691,1.34747905725856,1.82155915413076,0.536307804961195,0.714285431537169,-0.474080096872201,-0.177977626575974,2026-06-09
"KO_1614","hybrid",2026-06-10,2026-06-28,"Turkey","Norway",NA,NA,"neutral",2026-06-09,6.71170977341012,NA,0,0,0,0,0,0.263572616811899,-0.373942415799302,-0.296501335212497,-625000,-0.32750375525728,2.08488761771,0,0,1685,-0.515941381829991,-0.206241740095201,-0.293562336009144,-0.13586592178771,-0.19019019019019,-0.189585616360699,-1.0826955385477,0.396849328667511,0.0346648301193755,2.5663097384941,0.886361123619302,0.4635624881093,-0.360057789193601,2.4456852340709,0.3891515263571,0.0916671878250988,-0.843628126627699,0.130954359989574,0.060015179732791,-0.264139488423372,-0.0139749833045357,0.0468116416056859,-0.0163723511108458,0.111034753911461,1.39210482751631,1.82155915413076,0.922330673935859,0.714285431537169,-0.429454326614454,0.20804524239869,2026-06-09
"KO_1615","hybrid",2026-06-10,2026-06-28,"Germany","Norway",NA,NA,"neutral",2026-06-09,80.4869503544501,NA,0,0,0,0,0,1.3817498500013,0.4177855917907,0.5406211956448,-4e+05,-0.429789773841766,3.458562206583,0,0,1136,-0.570452717033569,0.689504188375601,-0.37716882199972,-0.209379562043796,-0.325226757369614,0.1762144321746,-1.8751788936594,0.349904424579749,-0.0220245122842525,3.5722460276646,2.0046684829311,1.7354510377675,0.593374558202001,3.0698395121916,1.1018432962837,1.0715836110199,-0.385446239488701,0.130991123680126,0.115028536486126,-0.310484234487143,-0.00023546296807098,0.0410624319438214,0.024221219845419,0.0623853459189477,1.70399198223421,1.82155915413076,0.779351812735399,0.714285431537169,-0.117567171896554,0.06506638119823,2026-06-09
"KO_1616","hybrid",2026-06-10,2026-06-28,"Curaçao","Norway",NA,NA,"neutral",2026-06-09,-285.36928778083,NA,0,0,0,0,0,-2.864931921113,-3.0040310367681,-2.9360837028972,-450000,-0.090219457963724,2.6535329123035,0,0,-125,-0.575175267210665,-2.8767378202454,-0.110810263078016,-0.105181598062954,-0.14140625,2.1209774426828,1.9548254620123,-0.096694214876033,0.144387052341597,-2.9356251931477,-1.7566272775275,-3.232738887834,-3.3636461205608,-1.8717979461445,-1.5167790128733,-3.0118615008823,-3.9571432520774,0.307521322355765,-0.083425609533642,-0.22354214601328,0.00220284431544826,-0.0145484400999187,-0.0103843092841487,-0.0272268126431889,1.41341341887529,1.82155915413076,0.816386613491288,0.714285431537169,-0.408145735255469,0.102101181954119,2026-06-09
"KO_1617","hybrid",2026-06-10,2026-06-28,"Ivory Coast","Norway",NA,NA,"neutral",2026-06-09,-61.49189345013,NA,0,0,0,0,0,-0.0379611893983984,-0.362001975463002,-0.252848705166798,-4e+05,-0.1922933467051,2.1736783220934,0,0,58,-0.429855754918676,-0.162518929176901,-0.238770111035655,-0.159144385026738,-0.229970326409496,-0.964014938476797,-1.8627341173543,0.342920028447409,-0.0764462809917355,0.181583792217701,0.777896543809,-0.570931886773899,-0.191987996253701,0.836247588303499,0.886731918215201,-0.6694306463177,-0.793617706469899,0.191117692778185,-0.111995519763152,-0.0812624157115799,0.0365740085945099,0.0651835935001622,0.0893868441494732,0.0824290999904031,1.29514290504177,1.82155915413076,0.523294537414836,0.714285431537169,-0.526416249088995,-0.190990894122334,2026-06-09
"KO_1618","hybrid",2026-06-10,2026-06-28,"Ecuador","Norway",NA,NA,"neutral",2026-06-09,61.9510732713602,NA,0,0,0,0,0,-0.670720577506,-0.524346369137501,-0.518988933077697,3e+05,0.109513503101377,0.700609387801901,0,0,-139,-0.190833194189347,-0.498477927688899,0.176241212362481,-0.022472313678539,-0.027297847585806,-1.5880506172422,-1.6382303528094,-0.033256169500815,-0.0589942740109327,-15.5471662801138,0.506363869673301,-0.4084481045663,-1.9660317930257,-14.0778755916622,1.000060602665,-0.0161293817998001,-2.56127958463,0.34020711956492,0.081292565041514,-0.413389442734619,0.0375398733187424,0.055339843921999,0.0233367205635986,0.0137406256990716,0.794391931440539,1.82155915413076,0.498879352772066,0.714285431537169,-1.02716722269022,-0.215406078765103,2026-06-09
"KO_1619","hybrid",2026-06-10,2026-06-28,"Netherlands","Norway",NA,NA,"neutral",2026-06-09,85.7861857959501,NA,0,0,0,0,0,1.2105969074292,0.329660422347899,0.454022956545302,-475000,-0.406851341167147,2.7439881772967,0,0,1154,-0.52126454770509,0.621553526531301,-0.371424176118495,-0.2227734375,-0.353083209509658,-0.093102554036598,-0.7198058614897,0.024182456743581,-0.0764462809917355,2.8497339454138,2.2161306746828,1.474121194406,0.1169940265241,3.2929830563629,1.4877638062533,0.8919980345838,-0.793617706469899,0.26268585848143,0.081733951522327,-0.378553750199019,-0.0228709840257402,0.0091354218078621,-0.0280578178756166,0.0044739550270272,1.7016912926574,1.82155915413076,0.719773871707976,0.714285431537169,-0.11986786147336,0.0054884401708073,2026-06-09
"KO_1620","hybrid",2026-06-10,2026-06-28,"Japan","Norway",NA,NA,"neutral",2026-06-09,74.2047035082301,NA,0,0,0,0,0,-0.486109086545898,-0.854208735138801,-0.729912372287298,1e+05,-0.213950568848164,-0.040031748095199,0,0,-52,0.190889653783833,-0.591247189610701,-0.246902726891545,-0.203481116584565,-0.313309061488673,1.0328482316786,0.7865098624852,-0.0496068362352563,-0.0181938538072695,1.5360103049833,-0.205365042342301,-0.4003155595605,-0.7375530943198,2.7333672898561,-0.0295588016590003,-0.767870717514501,-1.2490932304623,0.049118500750265,0.024283980391732,-0.126559598355255,-0.0291874669874233,-0.0281846600454436,-0.0624054937889547,-0.0792479971479949,1.810386272713,1.82155915413076,0.50662213945804,0.714285431537169,-0.011172881417759,-0.207663292079129,2026-06-09
"KO_1621","hybrid",2026-06-10,2026-06-28,"Tunisia","Norway",NA,NA,"neutral",2026-06-09,-98.88051886011,NA,0,0,0,0,0,-2.0463623476162,-2.2308411709705,-2.158379154182,-4e+05,-0.117039875622327,4.9189942717831,0,0,-99,-0.448179312345858,-2.0816257307356,-0.145138382791554,-0.12198250728863,-0.167628205128205,2.7683958831573,2.2480243917615,0.160998092816275,0.250476795931341,-2.329490904725,-1.4331729913881,-1.5396510556498,-2.8163357941705,-0.8602002162734,-1.3388920675687,-1.671313281599,-2.8977518022036,0.128255556475287,0.178866965290817,-0.305678205902511,-0.0418258405642753,-0.0644130703758385,-0.0664737748862443,-0.0833162782452845,1.06322709936516,1.82155915413076,0.56075196908505,0.714285431537169,-0.758332054765601,-0.153533462452119,2026-06-09
"KO_1622","hybrid",2026-06-10,2026-06-28,"Sweden","Norway",NA,NA,"neutral",2026-06-09,-53.45017854806,NA,0,0,0,0,0,0.101599774471399,-0.0251059210785023,0.0183668768345022,-3e+05,-0.0826805848325389,0.0439721314622012,0,0,97,-0.036605198535884,0.0453209498548013,-0.112535580577102,-0.0598436142484801,-0.076006355932203,-0.287347115017198,-1.0115114180823,0.086356632581594,-0.0446666199747863,0.4956669941607,0.488363527763802,0.279507367078999,-0.153698996356102,-0.2623640336984,0.402223607753598,0.215111378068499,-0.125163142463801,0.071561656960221,0.052783911690752,-0.128262818188093,-0.0471173442810802,0.0186741679676992,-0.0936811687000372,-0.0058127181852292,1.25853410274528,1.82155915413076,1.00612425700015,0.714285431537169,-0.563025051385479,0.29183882546298,2026-06-09
"KO_1623","hybrid",2026-06-10,2026-06-28,"Belgium","Norway",NA,NA,"neutral",2026-06-09,62.9280245198602,NA,0,0,0,0,0,0.6850183427315,-0.1732717208831,-0.0287006339310985,-5e+05,-0.400257001300519,2.5779039012994,0,0,806,-0.49229332503224,0.140552143679201,-0.363219533529689,-0.237030015797788,-0.384009009009009,-0.148636749252798,-1.5207516644889,0.204657136475318,-0.00765021219566671,3.0776790567083,1.1110844995254,1.0000924768889,0.0670451479237002,3.0698395121916,0.535754998754701,0.120446152167997,-0.562376946601599,0.080504946844097,0.100398559133862,-0.262408465043902,-0.00433206612246196,0.0015036132384907,-0.00792428344933784,-0.044279600984364,1.66523784676903,1.82155915413076,0.643735871266739,0.714285431537169,-0.156321307361736,-0.0705495602704301,2026-06-09
"KO_1624","hybrid",2026-06-10,2026-06-28,"Egypt","Norway",NA,NA,"neutral",2026-06-09,-39.70890785492,NA,0,0,0,0,0,-1.620116989271,-1.3618033351132,-1.3818165905917,-450000,0.204775009976368,4.1913588098829,0,0,-143,-0.183097345132743,-1.416566139067,0.253103347251176,0.049535232383808,0.055510752688172,3.2442328690842,4.8362889677058,-0.146694214876033,0.30258597707278,-3.8110892638614,-2.3370337919625,-3.0776299138506,-1.2052133499003,-2.564940126742,-1.9003613683574,-2.8967921887716,-1.0006318739843,-0.077553216555493,-0.207970961918093,0.292727637610544,-0.177228243152804,-0.223240523238048,-0.200738036377519,-0.260001255343621,1.06185576727317,1.82155915413076,0.511509680696818,0.714285431537169,-0.759703386857589,-0.202775750840351,2026-06-09
"KO_1625","hybrid",2026-06-10,2026-06-28,"Iran","Norway",NA,NA,"neutral",2026-06-09,40.21768287445,NA,0,0,0,0,0,-2.6585528006441,-2.7709371632641,-2.683952622903,0,-0.073851823657245,4.0839177225651,0,0,-149,-0.492383059418457,-2.5782188047958,-0.134393902670038,-0.154251497005988,-0.221397139713971,3.7326698797926,4.2695538547694,-0.146694214876033,0.586920055641927,-0.409899615500599,-2.6214531865255,-3.4491934185589,-2.5368537514917,0.143100741076699,-2.2551826883317,-3.2390783361041,-2.9316533515804,0.00572790244413199,-0.14813222059199,0.073670297724591,-0.0350229739884007,-0.0868657497300269,-0.0587028849981977,-0.165696482640627,1.47457872697274,1.82155915413076,0.568671577412173,0.714285431537169,-0.34698042715802,-0.145613854124996,2026-06-09
"KO_1626","hybrid",2026-06-10,2026-06-28,"New Zealand","Norway",NA,NA,"neutral",2026-06-09,-145.61659690376,NA,0,0,0,0,0,-3.160199356302,-3.0019498706509,-2.975451484212,-2e+05,0.119121325492571,-1.3017607103413,0,0,-167,0.070712178676781,-2.9486751791975,0.0920734630063651,-0.045654813529922,-0.056999306999307,3.1344144109971,4.0764109265136,-0.0843241525059706,0.453699249153795,-2.1624370997816,-2.3444138985339,-3.0776299138506,-3.6728079737278,-1.6486553948258,-1.8938888546896,-2.86821882041,-3.4085773815251,0.191092906188827,0.023333203390701,-0.228312483612959,-0.0429271198262811,-0.0198294214513623,-0.0630280406372599,-0.0437220313320523,1.58253342373891,1.82155915413076,0.729025569830337,0.714285431537169,-0.239025730391853,0.0147401382931679,2026-06-09
"KO_1627","hybrid",2026-06-10,2026-06-28,"Spain","Norway",NA,NA,"neutral",2026-06-09,190.20324264441,NA,0,0,0,0,0,1.7318759170561,0.397166304616299,0.5406211956448,-4e+05,-0.511870310095951,4.2419562624694,0,0,1756,-0.553051240937261,0.750558086813399,-0.433652336885444,-0.261974248927039,-0.441550925925926,0.716277566367701,-1.7173791301102,0.464416896235078,-0.0764462809917355,3.867414178741,2.5191200603448,1.9325607228306,0.974299119375299,3.2929830563629,1.4055257083922,0.788457356000599,-0.212174519074601,0.181451783173836,0.060245351837359,-0.30239032931062,-0.0199673242648118,-0.0217336738269651,-0.0377832834347274,-0.0878514343779244,1.8027908451069,1.82155915413076,0.590085942655241,0.714285431537169,-0.0187683090238635,-0.124199488881928,2026-06-09
"KO_1628","hybrid",2026-06-10,2026-06-28,"Cape Verde","Norway",NA,NA,"neutral",2026-06-09,-111.07182104547,NA,0,0,0,0,0,-2.1543061560917,-2.2308411709705,-2.2032917100868,-425000,-0.051189106565863,4.7197063728355,0,0,-100,-0.495202608290638,-2.1644054154129,-0.063687036901494,-0.056563737133808,-0.071554487179487,1.8361424531246,1.8898637296994,-0.012078830260648,0.154322949777495,-0.7761438925068,-1.1426658582999,-2.721242401988,-2.5140091195275,0.4307826468619,-0.627395786051,-2.688247464159,-3.1634549476467,0.265223114260396,-0.117308287788873,-0.17198280242149,0.0180974082000062,0.0354689122878221,0.0288364030998984,0.054901399875309,0.918610204770622,1.82155915413076,0.71467865942204,0.714285431537169,-0.90294894936014,0.00039322788487095,2026-06-09
"KO_1629","hybrid",2026-06-10,2026-06-28,"Saudi Arabia","Norway",NA,NA,"neutral",2026-06-09,-156.24873665424,NA,0,0,0,0,0,-4.3407596436513,-4.021639467676,-4.0420760245165,-5e+05,0.261169402012267,-0.879561799386,0,0,-179,0.312419896246567,-4.104394789701,0.273178467830798,0.075922865013774,0.040465898174832,3.6940690568732,4.8049281314168,-0.031420439659895,0.407703574916045,-15.5471662801138,-3.2363130350855,-5.7943365535095,-4.5242499255585,-14.0778755916622,-2.5490566677694,-5.4261489278778,-4.3110746284055,0.305753587762292,-0.207722158721421,-0.095430829042334,-0.00474821035289708,-0.13559513943816,-0.0103843092841487,-0.1567877835895,0.885630703991061,1.82155915413076,0.708152779672543,0.714285431537169,-0.935928450139702,-0.00613265186462664,2026-06-09
