"identity_map_version","source_dataset","source_version","source_input_sha256","source_artifact_id","source_identity_key","source_team_id","source_display_name","normalized_source_name","team_id","fifa_code","canonical_name","aliases","mapping_method","mapping_warning","alias_review_state","identity_map_sha256","row_sha256"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:northern cyprus",,"Northern Cyprus","northern cyprus","team_northern_cyprus","NA","Northern Cyprus",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","e9fbb7e330929f793483d96b115c8830df3fb613048f0c8a25c81175fee2a340"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:northern ireland",,"Northern Ireland","northern ireland","team_nir","NIR","Ireland, Northern",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","5749e6ac456346613c708b761dd2d776ebcc20ffd5bc9f395fa93ea636bd0ba4"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:northern mariana islands",,"Northern Mariana Islands","northern mariana islands","team_northern_mariana_islands","NA","Northern Mariana Islands",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","502abca6d322ac431fdfe04331e27e5a83718f5e89f892232cc274d00ff22feb"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:norway",,"Norway","norway","team_nor","NOR","Norway",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","9c134f869ec0b836ea8d88e8439a20b926a1dacec3db29bb53396c18ba29afd2"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:occitania",,"Occitania","occitania","team_occitania","NA","Occitania",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","904b4c3cc5b8a8605c375b6f760a5cfde96c21de7d0e20a9685aaf53f8d083c2"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:oman",,"Oman","oman","team_oma","OMA","Oman",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","daccbfa28de7ef7fec8936e4fd171350960d0fb8d6f1d583edc85565d2879c43"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:orkney",,"Orkney","orkney","team_orkney","NA","Orkney",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","d35b19ab7611ef3067a27332917b3603e9c4a9d8a7537a311dbd416b801a479f"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:padania",,"Padania","padania","team_padania","NA","Padania",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","e9e77ac88cc884bc5802e058f2a7c9f5eb43eab1cad4f2898391c2fe720e172a"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:pakistan",,"Pakistan","pakistan","team_pak","PAK","Pakistan",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","c17d613884ed3bf15cd5130b956d1c3706d327aa6a6be2ad48adfae5fe8401f1"
"phase13-martj42-identity-map-v1","martj42","martj42-results-v1","29876d7819d78110327fa0b426f3863d09c62ad29419a557ebee0c5fafe54564","martj42-results","name:palau",,"Palau","palau","team_palau","NA","Palau",,"normalized_display_name","normalized_display_name_requires_review","pending_review","0a2d3b59a9ca431d1ddd9d2e8331c18033a9e706082aef2064c7107b5524051a","bf736c2cf89dd6fc2648a64c0186b9cc1a74e5ed36dde02624099157fd7075b3"
