"date","team","display_team","group","fifa_code","rating","match_id","is_post_match"
2026-06-13,"Haiti","Haiti","C","HAI",1137.7793864843,"Haiti_Scotland_2026-06-13",TRUE
2026-06-19,"Haiti","Haiti","C","HAI",1134.2809775969,"Brazil_Haiti_2026-06-19",TRUE
2026-06-24,"Haiti","Haiti","C","HAI",1129.16711963351,"Morocco_Haiti_2026-06-24",TRUE
2026-07-18,"Haiti","Haiti","C","HAI",1129.16711963351,"tournament_end",TRUE
2026-06-11,"Iran","Iran","G","IRN",1362.66087099587,"tournament_start",FALSE
2026-06-15,"Iran","Iran","G","IRN",1354.21955295547,"Iran_New Zealand_2026-06-15",TRUE
2026-06-21,"Iran","Iran","G","IRN",1351.89536768593,"Belgium_Iran_2026-06-21",TRUE
2026-06-26,"Iran","Iran","G","IRN",1343.98729446359,"Egypt_Iran_2026-06-26",TRUE
2026-07-18,"Iran","Iran","G","IRN",1343.98729446359,"tournament_end",TRUE
2026-06-11,"Iraq","Iraq","I","IRQ",1212.83240400903,"tournament_start",FALSE
2026-06-16,"Iraq","Iraq","I","IRQ",1206.9064575818,"Iraq_Norway_2026-06-16",TRUE
2026-06-22,"Iraq","Iraq","I","IRQ",1201.88283087148,"France_Iraq_2026-06-22",TRUE
2026-06-26,"Iraq","Iraq","I","IRQ",1193.57016526852,"Senegal_Iraq_2026-06-26",TRUE
2026-07-18,"Iraq","Iraq","I","IRQ",1193.57016526852,"tournament_end",TRUE
2026-06-11,"Ivory Coast","Cote d'Ivoire","E","CIV",1262.08705881063,"tournament_start",FALSE
2026-06-14,"Ivory Coast","Cote d'Ivoire","E","CIV",1276.5730417916,"Ivory Coast_Ecuador_2026-06-14",TRUE
2026-06-20,"Ivory Coast","Cote d'Ivoire","E","CIV",1268.54450618903,"Germany_Ivory Coast_2026-06-20",TRUE
2026-06-25,"Ivory Coast","Cote d'Ivoire","E","CIV",1271.48330783794,"Curaçao_Ivory Coast_2026-06-25",TRUE
2026-06-30,"Ivory Coast","Cote d'Ivoire","E","CIV",1264.5920394014,"Ivory Coast_Norway_2026-06-30",TRUE
2026-07-18,"Ivory Coast","Cote d'Ivoire","E","CIV",1264.5920394014,"tournament_end",TRUE
2026-06-11,"Japan","Japan","F","JPN",1381.72222071309,"tournament_start",FALSE
2026-06-14,"Japan","Japan","F","JPN",1377.94955487671,"Netherlands_Japan_2026-06-14",TRUE
2026-06-20,"Japan","Japan","F","JPN",1385.72020386856,"Tunisia_Japan_2026-06-20",TRUE
2026-06-25,"Japan","Japan","F","JPN",1383.79198823988,"Japan_Sweden_2026-06-25",TRUE
2026-06-29,"Japan","Japan","F","JPN",1374.71994164712,"Brazil_Japan_2026-06-29",TRUE
2026-07-18,"Japan","Japan","F","JPN",1374.71994164712,"tournament_end",TRUE
2026-06-11,"Jordan","Jordan","J","JOR",1174.78287732102,"tournament_start",FALSE
2026-06-16,"Jordan","Jordan","J","JOR",1166.92236237203,"Austria_Jordan_2026-06-16",TRUE
2026-06-22,"Jordan","Jordan","J","JOR",1162.31596166279,"Jordan_Algeria_2026-06-22",TRUE
2026-06-27,"Jordan","Jordan","J","JOR",1160.98196785331,"Jordan_Argentina_2026-06-27",TRUE
2026-07-18,"Jordan","Jordan","J","JOR",1160.98196785331,"tournament_end",TRUE
