"match_id","stage","group","matchday","date","home_team","away_team","home_display","away_display","kickoff_local","venue_name","host_city","host_country","is_completed","match_status","actual_home_goals","actual_away_goals","actual_score","home_goals_expected","away_goals_expected","win_probability","draw_probability","loss_probability","predicted_outcome","most_likely_score","most_likely_score_probability","rounded_expected_score","over_2_5_probability","under_2_5_probability","both_teams_to_score_probability","prematch_home_goals_expected","prematch_away_goals_expected","prematch_win_probability","prematch_draw_probability","prematch_loss_probability","prematch_predicted_outcome","prematch_most_likely_score","prematch_most_likely_score_probability","prematch_rounded_expected_score","prematch_over_2_5_probability","prematch_under_2_5_probability","prematch_both_teams_to_score_probability","prematch_generated_at","prematch_feature_cutoff_date","prematch_actual_results_cutoff_date","prematch_forecast_source","prematch_forecast_available"
"GB05","group","B",3,"2026-06-24","Switzerland","Canada","Switzerland","Canada","12:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,1.3477,1.30978,0.38368,0.25261,0.36371,"home_win","1-1",0.10587,"1-1",0.47858,0.52142,0.48354,1.3477,1.30978,0.38368,0.25261,0.36371,"home_win","1-1",0.10587,"1-1",0.47858,0.52142,0.48354,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GB06","group","B",3,"2026-06-24","Bosnia and Herzegovina","Qatar","Bosnia and Herzegovina","Qatar","12:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.38126,1.28804,0.39704,0.2506,0.35236,"home_win","1-0",0.10536,"1-1",0.48123,0.51877,0.48459,1.38126,1.28804,0.39704,0.2506,0.35236,"home_win","1-0",0.10536,"1-1",0.48123,0.51877,0.48459,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GC01","group","C",1,"2026-06-13","Brazil","Morocco","Brazil","Morocco","18:00","Gillette Stadium","Foxborough","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1,1.3729,1.2902,0.3933,0.2522,0.3546,"home_win","1-1",0.1056,"1-1",0.4795,0.5205,0.4845,"2026-06-13 10:04:44.538941","2026-06-12","2026-06-13","dashboard_archive",TRUE
"GC02","group","C",1,"2026-06-13","Haiti","Scotland","Haiti","Scotland","21:00","MetLife Stadium","East Rutherford","United States",TRUE,"final",0,1,"0-1",0,1,0,0,1,"away_win","0-1",1,"0-1",0,1,0,1.3176,1.3419,0.3711,0.2527,0.3762,"away_win","1-1",0.1058,"1-1",0.4786,0.5214,0.4842,"2026-06-13 10:04:44.538941","2026-06-12","2026-06-13","dashboard_archive",TRUE
"GC03","group","C",2,"2026-06-19","Scotland","Morocco","Scotland","Morocco","18:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,0.87736,2.01573,0.1804,0.21512,0.60448,"away_win","0-1",0.11672,"1-2",0.52277,0.47723,0.45598,0.87736,2.01573,0.1804,0.21512,0.60448,"away_win","0-1",0.11672,"1-2",0.52277,0.47723,0.45598,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GC04","group","C",2,"2026-06-19","Brazil","Haiti","Brazil","Haiti","21:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,2.1804,0.81385,0.65513,0.19418,0.15069,"home_win","1-0",0.11661,"2-1",0.54711,0.45289,0.44631,2.1804,0.81385,0.65513,0.19418,0.15069,"home_win","1-0",0.11661,"2-1",0.54711,0.45289,0.44631,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GC05","group","C",3,"2026-06-24","Scotland","Brazil","Scotland","Brazil","18:00","Hard Rock Stadium","Miami Gardens","United States",FALSE,"scheduled",NA,NA,NA,0.84918,2.05772,0.17116,0.21065,0.61819,"away_win","0-1",0.11777,"1-2",0.52643,0.47357,0.44991,0.84918,2.05772,0.17116,0.21065,0.61819,"away_win","0-1",0.11777,"1-2",0.52643,0.47357,0.44991,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GC06","group","C",3,"2026-06-24","Morocco","Haiti","Morocco","Haiti","18:00","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,2.10813,0.84047,0.63511,0.20439,0.1605,"home_win","1-0",0.11662,"2-1",0.537369999999999,0.46263,0.45129,2.10813,0.84047,0.63511,0.20439,0.1605,"home_win","1-0",0.11662,"2-1",0.537369999999999,0.46263,0.45129,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GD01","group","D",1,"2026-06-12","United States","Paraguay","United States","Paraguay","18:00","SoFi Stadium","Inglewood","United States",TRUE,"final",4,1,"4-1",4,1,1,0,0,"home_win","4-1",1,"4-1",1,0,1,1.4925,1.1834,0.4409,0.249,0.3102,"home_win","1-0",0.1092,"1-1",0.4824,0.5176,0.4819,"2026-06-12 13:11:51.362861","2026-06-11","2026-06-12","dashboard_archive",TRUE
"GD02","group","D",1,"2026-06-13","Australia","Turkey","Australia","Turkiye","21:00","BC Place","Vancouver","Canada",TRUE,"final",2,0,"2-0",2,0,1,0,0,"home_win","2-0",1,"2-0",0,1,0,1.3307,1.3284,0.3766,0.2527,0.3707,"home_win","1-1",0.1058,"1-1",0.4786,0.5214,0.4842,"2026-06-13 10:04:44.538941","2026-06-12","2026-06-13","dashboard_archive",TRUE
"GD03","group","D",2,"2026-06-19","Turkey","Paraguay","Turkiye","Paraguay","21:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,1.58488,1.11815,0.47396,0.24547,0.28057,"home_win","1-0",0.11142,"2-1",0.48679,0.51321,0.48054,1.58488,1.11815,0.47396,0.24547,0.28057,"home_win","1-0",0.11142,"2-1",0.48679,0.51321,0.48054,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GD04","group","D",2,"2026-06-19","United States","Australia","United States","Australia","12:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.24646,1.42652,0.33991,0.2518,0.40829,"away_win","1-1",0.10516,"1-1",0.47964,0.52036,0.48431,1.24646,1.42652,0.33991,0.2518,0.40829,"away_win","1-1",0.10516,"1-1",0.47964,0.52036,0.48431,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GD05","group","D",3,"2026-06-25","Turkey","United States","Turkiye","United States","19:00","SoFi Stadium","Inglewood","United States",FALSE,"scheduled",NA,NA,NA,1.30753,1.34853,0.36822,0.25182,0.37996,"away_win","1-1",0.10533,"1-1",0.47616,0.52384,0.48331,1.30753,1.34853,0.36822,0.25182,0.37996,"away_win","1-1",0.10533,"1-1",0.47616,0.52384,0.48331,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GD06","group","D",3,"2026-06-25","Paraguay","Australia","Paraguay","Australia","19:00","Levi's Stadium","Santa Clara","United States",FALSE,"scheduled",NA,NA,NA,1.03323,1.70503,0.24983,0.23912,0.51105,"away_win","0-1",0.11281,"1-2",0.49382,0.50618,0.47323,1.03323,1.70503,0.24983,0.23912,0.51105,"away_win","0-1",0.11281,"1-2",0.49382,0.50618,0.47323,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GE01","group","E",1,"2026-06-14","Ivory Coast","Ecuador","Cote d'Ivoire","Ecuador","19:00","Lincoln Financial Field","Philadelphia","United States",TRUE,"final",1,0,"1-0",1,0,1,0,0,"home_win","1-0",1,"1-0",0,1,0,1.1878,1.49,0.3145,0.2528,0.4327,"away_win","1-1",0.106,"1-1",0.4804,0.5196,0.4832,"2026-06-15 10:04:33.190885","2026-06-14","2026-06-15","dashboard_archive",TRUE
"GE02","group","E",1,"2026-06-14","Germany","Curaçao","Germany","Curacao","12:00","NRG Stadium","Houston","United States",TRUE,"final",7,1,"7-1",7,1,1,0,0,"home_win","7-1",1,"7-1",1,0,1,2.308,0.7667,0.6857,0.1838,0.1305,"home_win","1-0",0.1157,"2-1",0.5616,0.4384,0.4381,"2026-06-14 12:08:12.337671","2026-06-13","2026-06-14","dashboard_archive",TRUE
"GE03","group","E",2,"2026-06-20","Germany","Ivory Coast","Germany","Cote d'Ivoire","16:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,1.53924,1.13719,0.45984,0.24762,0.29254,"home_win","1-0",0.11115,"2-1",0.48286,0.51714,0.47842,1.53924,1.13719,0.45984,0.24762,0.29254,"home_win","1-0",0.11115,"2-1",0.48286,0.51714,0.47842,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GE04","group","E",2,"2026-06-20","Ecuador","Curaçao","Ecuador","Curacao","19:00","Arrowhead Stadium","Kansas City","United States",FALSE,"scheduled",NA,NA,NA,2.18121,0.80804,0.65652,0.19521,0.14827,"home_win","1-0",0.11899,"2-1",0.54508,0.45492,0.44568,2.18121,0.80804,0.65652,0.19521,0.14827,"home_win","1-0",0.11899,"2-1",0.54508,0.45492,0.44568,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GE05","group","E",3,"2026-06-25","Curaçao","Ivory Coast","Curacao","Cote d'Ivoire","16:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,0.79817,2.21728,0.14793,0.19553,0.65654,"away_win","0-1",0.11675,"1-2",0.54389,0.45611,0.44221,0.79817,2.21728,0.14793,0.19553,0.65654,"away_win","0-1",0.11675,"1-2",0.54389,0.45611,0.44221,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GE06","group","E",3,"2026-06-25","Ecuador","Germany","Ecuador","Germany","16:00","MetLife Stadium","East Rutherford","United States",FALSE,"scheduled",NA,NA,NA,1.12283,1.57318,0.28898,0.24483,0.46619,"away_win","0-1",0.10818,"1-2",0.48736,0.51264,0.48101,1.12283,1.57318,0.28898,0.24483,0.46619,"away_win","0-1",0.10818,"1-2",0.48736,0.51264,0.48101,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GF01","group","F",1,"2026-06-14","Netherlands","Japan","Netherlands","Japan","15:00","AT&T Stadium","Arlington","United States",TRUE,"final",2,2,"2-2",2,2,0,1,0,"draw","2-2",1,"2-2",1,0,1,1.2939,1.3673,0.3611,0.2525,0.3863,"away_win","1-1",0.1058,"1-1",0.4789,0.5211,0.4843,"2026-06-14 12:08:12.337671","2026-06-13","2026-06-14","dashboard_archive",TRUE
"GF02","group","F",1,"2026-06-14","Sweden","Tunisia","Sweden","Tunisia","20:00","Estadio BBVA","Guadalupe","Mexico",TRUE,"final",5,1,"5-1",5,1,1,0,0,"home_win","5-1",1,"5-1",1,0,1,1.3878,1.2683,0.3988,0.2561,0.3451,"home_win","1-1",0.108,"1-1",0.4777,0.5223,0.485,"2026-06-15 10:04:33.190885","2026-06-14","2026-06-15","dashboard_archive",TRUE
"GF03","group","F",2,"2026-06-20","Netherlands","Sweden","Netherlands","Sweden","12:00","NRG Stadium","Houston","United States",FALSE,"scheduled",NA,NA,NA,1.72614,1.02651,0.52383,0.23521,0.24096,"home_win","1-0",0.11661,"2-1",0.49981,0.50019,0.47552,1.72614,1.02651,0.52383,0.23521,0.24096,"home_win","1-0",0.11661,"2-1",0.49981,0.50019,0.47552,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GF04","group","F",2,"2026-06-20","Tunisia","Japan","Tunisia","Japan","22:00","Estadio BBVA","Guadalupe","Mexico",FALSE,"scheduled",NA,NA,NA,0.9313,1.89072,0.20552,0.22603,0.56845,"away_win","0-1",0.1128,"1-2",0.51077,0.48923,0.4631,0.9313,1.89072,0.20552,0.22603,0.56845,"away_win","0-1",0.1128,"1-2",0.51077,0.48923,0.4631,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GF05","group","F",3,"2026-06-25","Japan","Sweden","Japan","Sweden","18:00","AT&T Stadium","Arlington","United States",FALSE,"scheduled",NA,NA,NA,1.75127,1.00588,0.53395,0.23423,0.23182,"home_win","1-0",0.11593,"2-1",0.50017,0.49983,0.47149,1.75127,1.00588,0.53395,0.23423,0.23182,"home_win","1-0",0.11593,"2-1",0.50017,0.49983,0.47149,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GF06","group","F",3,"2026-06-25","Tunisia","Netherlands","Tunisia","Netherlands","18:00","Arrowhead Stadium","Kansas City","United States",FALSE,"scheduled",NA,NA,NA,0.94798,1.87051,0.2118,0.22711,0.56109,"away_win","0-1",0.11566,"1-2",0.5076,0.4924,0.46414,0.94798,1.87051,0.2118,0.22711,0.56109,"away_win","0-1",0.11566,"1-2",0.5076,0.4924,0.46414,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GG01","group","G",1,"2026-06-15","Iran","New Zealand","Iran","New Zealand","18:00","SoFi Stadium","Inglewood","United States",TRUE,"final",2,2,"2-2",2,2,0,1,0,"draw","2-2",1,"2-2",1,0,1,1.656,1.0662,0.501,0.2405,0.2585,"home_win","1-0",0.1156,"2-1",0.492,0.508,0.4762,"2026-06-16 04:16:35.336811","2026-06-15","2026-06-16","dashboard_archive",TRUE
"GG02","group","G",1,"2026-06-15","Belgium","Egypt","Belgium","Egypt","12:00","Lumen Field","Seattle","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1,1.6626,1.0625,0.5028,0.2395,0.2576,"home_win","1-0",0.1147,"2-1",0.493,0.507,0.4761,"2026-06-15 21:15:31.293832","2026-06-14","2026-06-15","dashboard_archive",TRUE
"GG03","group","G",2,"2026-06-21","Belgium","Iran","Belgium","Iran","12:00","SoFi Stadium","Inglewood","United States",FALSE,"scheduled",NA,NA,NA,1.54831,1.14254,0.46184,0.24437,0.29379,"home_win","1-0",0.11178,"2-1",0.4873,0.5127,0.47911,1.54831,1.14254,0.46184,0.24437,0.29379,"home_win","1-0",0.11178,"2-1",0.4873,0.5127,0.47911,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GG04","group","G",2,"2026-06-21","New Zealand","Egypt","New Zealand","Egypt","18:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,1.10953,1.59474,0.28274,0.24456,0.4727,"away_win","0-1",0.1073,"1-2",0.4861,0.5139,0.47835,1.10953,1.59474,0.28274,0.24456,0.4727,"away_win","0-1",0.1073,"1-2",0.4861,0.5139,0.47835,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GG05","group","G",3,"2026-06-26","Egypt","Iran","Egypt","Iran","20:00","Lumen Field","Seattle","United States",FALSE,"scheduled",NA,NA,NA,1.25393,1.41083,0.34454,0.24993,0.40553,"away_win","1-1",0.10339,"1-1",0.48026,0.51974,0.48243,1.25393,1.41083,0.34454,0.24993,0.40553,"away_win","1-1",0.10339,"1-1",0.48026,0.51974,0.48243,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GG06","group","G",3,"2026-06-26","New Zealand","Belgium","New Zealand","Belgium","20:00","BC Place","Vancouver","Canada",FALSE,"scheduled",NA,NA,NA,0.894,1.97948,0.18679,0.21836,0.59485,"away_win","0-1",0.11529,"1-2",0.520459999999999,0.47954,0.45886,0.894,1.97948,0.18679,0.21836,0.59485,"away_win","0-1",0.11529,"1-2",0.520459999999999,0.47954,0.45886,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GH01","group","H",1,"2026-06-15","Saudi Arabia","Uruguay","Saudi Arabia","Uruguay","18:00","Hard Rock Stadium","Miami Gardens","United States",TRUE,"final",1,1,"1-1",1,1,0,1,0,"draw","1-1",1,"1-1",0,1,1,1.0805,1.6258,0.271,0.2457,0.4833,"away_win","0-1",0.1099,"1-2",0.4871,0.5129,0.4746,"2026-06-16 02:33:00.171785","2026-06-15","2026-06-16","dashboard_archive",TRUE
"GH02","group","H",1,"2026-06-15","Spain","Cape Verde","Spain","Cape Verde","12:00","Mercedes-Benz Stadium","Atlanta","United States",TRUE,"final",0,0,"0-0",0,0,0,1,0,"draw","0-0",1,"0-0",0,1,0,2.3514,0.751,0.6957,0.1798,0.1245,"home_win","1-0",0.1151,"2-1",0.5667,0.4333,0.4345,"2026-06-15 13:55:03.913378","2026-06-14","2026-06-15","dashboard_archive",TRUE
"GH03","group","H",2,"2026-06-21","Uruguay","Cape Verde","Uruguay","Cape Verde","18:00","Hard Rock Stadium","Miami Gardens","United States",FALSE,"scheduled",NA,NA,NA,1.72834,1.01624,0.5274,0.23429,0.23831,"home_win","1-0",0.11689,"2-1",0.49664,0.50336,0.47199,1.72834,1.01624,0.5274,0.23429,0.23831,"home_win","1-0",0.11689,"2-1",0.49664,0.50336,0.47199,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GH04","group","H",2,"2026-06-21","Spain","Saudi Arabia","Spain","Saudi Arabia","12:00","Mercedes-Benz Stadium","Atlanta","United States",FALSE,"scheduled",NA,NA,NA,2.50904,0.70496,0.72679,0.16558,0.10763,"home_win","2-0",0.1159,"3-1",0.58659,0.41341,0.42362,2.50904,0.70496,0.72679,0.16558,0.10763,"home_win","2-0",0.1159,"3-1",0.58659,0.41341,0.42362,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GH05","group","H",3,"2026-06-26","Cape Verde","Saudi Arabia","Cape Verde","Saudi Arabia","19:00","NRG Stadium","Houston","United States",FALSE,"scheduled",NA,NA,NA,1.45667,1.22106,0.42467,0.25256,0.32277,"home_win","1-0",0.1062,"1-1",0.48477,0.51523,0.48725,1.45667,1.22106,0.42467,0.25256,0.32277,"home_win","1-0",0.1062,"1-1",0.48477,0.51523,0.48725,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GH06","group","H",3,"2026-06-26","Uruguay","Spain","Uruguay","Spain","18:00","Estadio Akron","Zapopan","Mexico",FALSE,"scheduled",NA,NA,NA,1.004,1.76666,0.23636,0.23375,0.52989,"away_win","0-1",0.11315,"1-2",0.49995,0.50005,0.47321,1.004,1.76666,0.23636,0.23375,0.52989,"away_win","0-1",0.11315,"1-2",0.49995,0.50005,0.47321,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GI01","group","I",1,"2026-06-16","France","Senegal","France","Senegal","15:00","MetLife Stadium","East Rutherford","United States",TRUE,"final",3,1,"3-1",3,1,1,0,0,"home_win","3-1",1,"3-1",1,0,1,1.4879,1.1898,0.4386,0.249,0.3124,"home_win","1-0",0.1088,"1-1",0.4828,0.5172,0.4826,"2026-06-16 20:56:57.719089","2026-06-15","2026-06-16","dashboard_archive",TRUE
"GI02","group","I",1,"2026-06-16","Iraq","Norway","Iraq","Norway","18:00","Gillette Stadium","Foxborough","United States",TRUE,"final",1,4,"1-4",1,4,0,0,1,"away_win","1-4",1,"1-4",1,0,1,1.0105,1.7486,0.239,0.2353,0.5256,"away_win","0-1",0.1134,"1-2",0.4979,0.5021,0.4717,"2026-06-17 00:37:01.3407","2026-06-15","2026-06-16","dashboard_archive",TRUE
"GI03","group","I",2,"2026-06-22","Norway","Senegal","Norway","Senegal","20:00","MetLife Stadium","East Rutherford","United States",FALSE,"scheduled",NA,NA,NA,1.30371,1.35255,0.36637,0.25173,0.3819,"away_win","1-1",0.10597,"1-1",0.47757,0.52243,0.48259,1.30371,1.35255,0.36637,0.25173,0.3819,"away_win","1-1",0.10597,"1-1",0.47757,0.52243,0.48259,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GI04","group","I",2,"2026-06-22","France","Iraq","France","Iraq","17:00","Lincoln Financial Field","Philadelphia","United States",FALSE,"scheduled",NA,NA,NA,2.23423,0.79544,0.66693,0.19234,0.14073,"home_win","1-0",0.11592,"2-1",0.55087,0.44913,0.44412,2.23423,0.79544,0.66693,0.19234,0.14073,"home_win","1-0",0.11592,"2-1",0.55087,0.44913,0.44412,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GI05","group","I",3,"2026-06-26","Norway","France","Norway","France","15:00","Gillette Stadium","Foxborough","United States",FALSE,"scheduled",NA,NA,NA,1.11265,1.59904,0.28321,0.24416,0.47263,"away_win","0-1",0.10943,"1-2",0.48826,0.51174,0.48019,1.11265,1.59904,0.28321,0.24416,0.47263,"away_win","0-1",0.10943,"1-2",0.48826,0.51174,0.48019,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GI06","group","I",3,"2026-06-26","Senegal","Iraq","Senegal","Iraq","15:00","BMO Field","Toronto","Canada",FALSE,"scheduled",NA,NA,NA,1.88707,0.93493,0.57628,0.22107,0.20265,"home_win","1-0",0.11732,"2-1",0.51162,0.48838,0.46336,1.88707,0.93493,0.57628,0.22107,0.20265,"home_win","1-0",0.11732,"2-1",0.51162,0.48838,0.46336,"2026-06-19 07:39:25.147883","2026-06-18","2026-06-19","dashboard_archive",TRUE
"GJ01","group","J",1,"2026-06-16","Argentina","Algeria","Argentina","Algeria","20:00","Arrowhead Stadium","Kansas City","United States",TRUE,"final",3,0,"3-0",3,0,1,0,0,"home_win","3-0",1,"3-0",1,0,0,1.6789,1.056,0.5068,0.2394,0.2538,"home_win","1-0",0.1152,"2-1",0.4948,0.5052,0.4764,"2026-06-17 03:58:44.083992","2026-06-16","2026-06-17","dashboard_archive",TRUE
"GJ02","group","J",1,"2026-06-16","Austria","Jordan","Austria","Jordan","21:00","Levi's Stadium","Santa Clara","United States",TRUE,"final",3,1,"3-1",3,1,1,0,0,"home_win","3-1",1,"3-1",1,0,1,1.5353,1.1454,0.4585,0.2475,0.2939,"home_win","1-0",0.1119,"2-1",0.4834,0.5166,0.4803,"2026-06-17 03:58:44.083992","2026-06-16","2026-06-17","dashboard_archive",TRUE
