"edition_id","projection_run_id","team_id","league","p_quarter_final","p_semi_final","p_third_place","p_final","p_champion","p_direct_promotion","p_direct_relegation","p_playoff_eligibility","p_playoff_win","p_playoff_loss","status","suppression_reason","simulation_count","simulation_seed","ruleset_version","ruleset_sha256","source_bundle_id","model_release_id","row_sha256"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_ltu","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","517e146ffe6a781eec964e8bd03f97c4f7a0fee6060e02dab80c9e8febde07a0"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_lux","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","c142297a9071e1cfa7fbc331684ceb8da53290f34fc48be302c1bdd9dfe6841f"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_lva","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","6df3540bfbf00075fd94b2316df31d481861712c68a4aba5692b034755704f24"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_mda","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","3ac6c0727ae61752968a69d003313f4703f3137e0d2459c8adf8f33a3d12f516"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_mkd","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","44f7c6dd9ae93d01afadc59ec3aaaead19290c1e88ee8f985b8c7d08d4c64a85"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_mlt","D",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","be1f0b0a6f9cc2abc34e9e532d2d5d7bc300cdeb7b3051994400b66954dd70b8"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_mne","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","8edfbcdaa4c227ee8655879c162e8d38bfc8a8c9e0c69382c35b7bfc680430e1"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_ned","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","56240f7038c0cba7dd5ee22750b96e00be513afe7b7dc4b2b37f5190eba6a8d7"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_nir","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","f09e171d6de787b156385bb5de45631ca22ddf4efc2fe4a7db194749f3c5b904"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_nor","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","ad48a298eb93216a63491abf7d354d96e407016d4c7f1511b00fb7b7e71e48bf"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_pol","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","0bb17d38f2931df463d37dbf54562afad1e7edb563ece9e98c9f0076e78547c8"
