"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","match_status","completion_method","home_goals","away_goals","regulation_home_goals","regulation_away_goals","final_home_goals","final_away_goals","shootout_home_goals","shootout_away_goals","winner_team_id","evidence_completed_at_utc","counts_for_standings","counts_for_form","source_artifact_id","fixture_source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047902",2047902,2014193,2014193,"team_cro","team_cze",56370,58837,"Croatia","Czechia","2026-11-15T19:45:00Z",TRUE,"2026-11-15T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","355562ab43a2b2138877fe3253f93d9226dfc1256f7ae82127637885e14940b1"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047903",2047903,2014200,2014200,"team_cyp","team_mne",33,92853,"Cyprus","Montenegro","2026-11-15T14:00:00Z",TRUE,"2026-11-15T14:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","2b6efff98961da251439dbf9e86b18166b1bd2e72d0a2ada0b5dfb06082545ae"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047904",2047904,2014193,2014193,"team_esp","team_eng",122,39,"Spain","England","2026-11-15T19:45:00Z",TRUE,"2026-11-15T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","2c5b5bb2136025207159fa9a10d8f5cbabd2c69cce192c96fe555e015f2a4f1a"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047905",2047905,2014199,2014199,"team_blr","team_alb",57155,2,"Belarus","Albania","2026-11-15T17:00:00Z",TRUE,"2026-11-15T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","98ebde26e9e171a6ae71196099d223406b6d7f4142536d69fc2b7a4ac3241cb9"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047906",2047906,2014202,2014202,"team_isl","team_lux",58,82,"Iceland","Luxembourg","2026-11-16T17:00:00Z",TRUE,"2026-11-16T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","553868a79b50855ccee6940a13c469a6a74e1f31473f35aaa595065bfd610687"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047907",2047907,2014202,2014202,"team_est","team_bul",56556,20,"Estonia","Bulgaria","2026-11-16T17:00:00Z",TRUE,"2026-11-16T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","66b742cd469d77d86fd6cba12cf7a59ad149244aa651a488ada6c7dcafeae249"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047908",2047908,2014203,2014203,"team_gibraltar","team_mlt",94080,88,"Gibraltar","Malta","2026-11-16T19:45:00Z",TRUE,"2026-11-16T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","5f8aa2b6486843e54155a7615391136bc3a106a226a6a7b925ff2da4e9c49035"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047909",2047909,2014192,2014192,"team_deu","team_ned",47,95,"Germany","Netherlands","2026-11-16T19:45:00Z",TRUE,"2026-11-16T19:45:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","b632544abcced1879e4c338b791bfe95a3127735c13eb407211986d1250325ef"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047910",2047910,2014201,2014201,"team_fro","team_mda",51218,57160,"Faroe Islands","Moldova","2026-11-16T15:00:00Z",TRUE,"2026-11-16T15:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","6024805dc1316e05a9f9a86b3599df35cdb5ee9068b3f19519c7e340613a2d5a"
"phase14-normalized-result-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047911",2047911,2014204,2014204,"team_ltu","team_lie",56557,81,"Lithuania","Liechtenstein","2026-11-16T17:00:00Z",TRUE,"2026-11-16T17:00:00Z","UPCOMING","scheduled","not_applicable",,,,,,,,,,,FALSE,FALSE,"nl-2026-27-official-uefa-v2-results","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","1cfc881c5ea9a8991e603b0faa4ae7d46a076cd58d4348cd670789f766d30d1b"
