"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047943",2047943,2014202,2014202,"team_lux","team_bul",82,20,"Luxembourg","Bulgaria","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","685ace15705214ac8ef95aa4cb8b3224488c66a815206549cd1884d0cf31aacd"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047944",2047944,2014201,2014201,"team_mda","team_svk",57160,58836,"Moldova","Slovakia","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","93fb91b984c9d8034d859bdb3ac8fc766b384aeb8e304554a4e8b9c5d8948124"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047945",2047945,2014202,2014202,"team_est","team_isl",56556,58,"Estonia","Iceland","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","531044e8287a08550595e3272f5e4bd1931496bde218a11bbb4df1eeb7df88b9"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047946",2047946,2014193,2014193,"team_cro","team_esp",56370,122,"Croatia","Spain","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","45975da4f8e35b1ee37305ac3647fa0245aa0c386a393f84b48cb161b54cf181"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047947",2047947,2014193,2014193,"team_eng","team_cze",39,58837,"England","Czechia","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","7c9a15e52d18f5e014f9544276917cf379907149afcaa8e82090705959b3c9d4"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047948",2047948,2014195,2014195,"team_scotland","team_svn",117,57163,"Scotland","Slovenia","2026-10-06T18:45:00Z",TRUE,"2026-10-06T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","dbb5cb8bf8a49285a5469940ef9c77d2495b5f50c91000ab757e5d28ffd47f35"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047949",2047949,2014201,2014201,"team_kaz","team_fro",65146,51218,"Kazakhstan","Faroe Islands","2026-10-06T14:00:00Z",TRUE,"2026-10-06T14:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","a84e206c9dae499a78d38582ed75f99c3fde8e244dc532cbcedd5d93f942ebbc"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047950",2047950,2014194,2014194,"team_wal","team_nor",144,101,"Wales","Norway","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","3607f90ecf0d52362a3bba0e46cda3916f43b4183157cf5a12c41588e278c301"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047951",2047951,2014192,2014192,"team_gre","team_ned",49,95,"Greece","Netherlands","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","9302bcd0b6a024e5dc5731814ff949b72110e428f0d533193cbb4a5f51a2d849"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047952",2047952,2014197,2014197,"team_isr","team_kvx",65,2608110,"Israel","Kosovo","2026-10-01T18:45:00Z",TRUE,"2026-10-01T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","bfb88ae74d3c438997f0f2d4ac2a3b02a517406759944a4821fe9b3783acd130"
